Entity,Year,Fossil by continent
Africa (BP),2006,3571.256104
Africa (BP),2007,3706.443604
Africa (BP),2008,3940.737793
Africa (BP),2009,4002.838867
Africa (BP),2010,4111.786621
Africa (BP),2011,4141.99707
Africa (BP),2012,4312.086914
Africa (BP),2013,4421.347656
Africa (BP),2014,4529.459473
Africa (BP),2015,4643.543457
Africa (BP),2016,4767.708984
Africa (BP),2017,4866.901367
Africa (BP),2018,4964.652344
Africa (BP),2019,5043.08252
Africa (BP),2020,4704.925781
Africa (BP),2021,4996.097656
Algeria,1965,23.64985085
Algeria,1966,28.78279495
Algeria,1967,27.03503799
Algeria,1968,28.68020248
Algeria,1969,32.47171783
Algeria,1970,35.04384613
Algeria,1971,38.75703812
Algeria,1972,43.18413925
Algeria,1973,51.02702332
Algeria,1974,57.43930817
Algeria,1975,69.3997879
Algeria,1976,80.95184326
Algeria,1977,89.41717529
Algeria,1978,112.6222229
Algeria,1979,147.679718
Algeria,1980,176.3829956
Algeria,1981,214.1039124
Algeria,1982,246.6957092
Algeria,1983,270.271759
Algeria,1984,258.8596191
Algeria,1985,260.3863525
Algeria,1986,276.7512817
Algeria,1987,283.6925659
Algeria,1988,304.8806763
Algeria,1989,296.3999939
Algeria,1990,314.5745239
Algeria,1991,311.2286682
Algeria,1992,319.6384277
Algeria,1993,296.9511414
Algeria,1994,301.4302368
Algeria,1995,312.5741272
Algeria,1996,309.5255127
Algeria,1997,297.6380005
Algeria,1998,307.7132263
Algeria,1999,310.8339233
Algeria,2000,299.7859497
Algeria,2001,310.6102295
Algeria,2002,321.7841492
Algeria,2003,336.1535645
Algeria,2004,349.0545044
Algeria,2005,364.6814575
Algeria,2006,378.6008911
Algeria,2007,399.0007019
Algeria,2008,422.7616577
Algeria,2009,447.9042053
Algeria,2010,438.4894409
Algeria,2011,463.3955078
Algeria,2012,506.5319824
Algeria,2013,536.6290283
Algeria,2014,584.9251709
Algeria,2015,616.9202881
Algeria,2016,616.0961914
Algeria,2017,622.2537842
Algeria,2018,669.4301147
Algeria,2019,692.8366089
Algeria,2020,652.4639893
Algeria,2021,682.7947998
Argentina,1965,324.8962402
Argentina,1966,335.4955139
Argentina,1967,345.2636108
Argentina,1968,356.4012756
Argentina,1969,368.9255676
Argentina,1970,348.6890259
Argentina,1971,369.9680176
Argentina,1972,374.7485352
Argentina,1973,387.4430847
Argentina,1974,394.3475647
Argentina,1975,380.3053284
Argentina,1976,400.3521118
Argentina,1977,419.5299683
Argentina,1978,410.758606
Argentina,1979,435.2419128
Argentina,1980,420.25177
Argentina,1981,406.3126221
Argentina,1982,408.8196716
Argentina,1983,421.585144
Argentina,1984,415.1765442
Argentina,1985,403.8170776
Argentina,1986,430.0708008
Argentina,1987,448.3324585
Argentina,1988,478.745575
Argentina,1989,467.7825012
Argentina,1990,439.5460815
Argentina,1991,451.9691772
Argentina,1992,482.1176147
Argentina,1993,485.2360229
Argentina,1994,504.378418
Argentina,1995,529.4221802
Argentina,1996,568.7478027
Argentina,1997,558.9655762
Argentina,1998,588.2192383
Argentina,1999,611.5462646
Argentina,2000,595.3776855
Argentina,2001,553.802124
Argentina,2002,531.7772217
Argentina,2003,579.3063965
Argentina,2004,632.2974854
Argentina,2005,670.6097412
Argentina,2006,697.7806396
Argentina,2007,755.2279053
Argentina,2008,766.4549561
Argentina,2009,731.0341797
Argentina,2010,762.5041504
Argentina,2011,793.0222778
Argentina,2012,831.567627
Argentina,2013,858.9996948
Argentina,2014,857.3570557
